speed,dist,rcd___id
4,2,hbo9amdl
4,10,4tps91ar
7,4,4yczkave
7,22,qc2aom6i
8,16,zelb9w5d
9,10,cgbgnm6o
10,18,xi2nlpgm
10,26,dzt3nwwv
10,34,wsa4rmax
11,17,kfvdb9yt
11,28,w38fttkh
12,14,knpem61d
12,20,u5hvtfhm
12,24,08rph00t
12,28,pdh9ww45
13,26,m4p880so
13,34,rmasn4c7
13,34,j37eoz3j
13,46,6sqepueu
14,26,ra21ly2k
14,36,fqeyavxn
14,60,l0dqy60m
14,80,irglb7yp
15,20,5f7l3ht9
15,26,pxiewtd8
15,54,g6h4xhc9
16,32,p038terj
16,40,r6vpdeq3
17,32,b1i1zwgy
17,40,lt31qrrv
17,50,pl4prwmo
18,42,0e42a27l
18,56,ee4asxu6
18,76,6zrckqo3
18,84,v0u8livb
19,36,qp4bwo6r
19,46,fk91cz3m
19,68,ygs99klp
20,32,otljrs0n
20,48,a0pa0m1j
20,52,3yfkjjb1
20,56,ahc7fkns
20,64,ekg2ag28
22,66,alh4galw
23,54,1mi597p7
24,70,dbw0qu2x
24,92,uyfdkj9p
24,93,ivm9iqy0
24,120,v4gkttof
25,85,4bvgcdch
